Nama,Khasiat,Produsen,Kategori,Khasiat_Length,Case_folding,punctuation_removal,tokenizing,stopwordremoval,stemming
masker v,membantu para wanita mengatasi frigid dan agar mempunyai gairah melayani pasangan,TRESNA,Jamu Pasutri,81,membantu para wanita mengatasi frigid dan agar mempunyai gairah melayani pasangan,membantu para wanita mengatasi frigid dan agar mempunyai gairah melayani pasangan,"['membantu', 'para', 'wanita', 'mengatasi', 'frigid', 'dan', 'agar', 'mempunyai', 'gairah', 'melayani', 'pasangan']","['membantu', 'wanita', 'mengatasi', 'frigid', 'gairah', 'melayani', 'pasangan']","['bantu', 'wanita', 'atas', 'frigid', 'gairah', 'layan', 'pasang']"
LAMSAM,"untuk menurunkan / menormalkan tekanan darah tinggi (hipertensi), dan melancarkan peredaran darah dalam tubuh",TRESNA,Jamu Kesehatan,109,"untuk menurunkan / menormalkan tekanan darah tinggi (hipertensi), dan melancarkan peredaran darah dalam tubuh",untuk menurunkan  menormalkan tekanan darah tinggi hipertensi dan melancarkan peredaran darah dalam tubuh,"['untuk', 'menurunkan', 'menormalkan', 'tekanan', 'darah', 'tinggi', 'hipertensi', 'dan', 'melancarkan', 'peredaran', 'darah', 'dalam', 'tubuh']","['menurunkan', 'menormalkan', 'tekanan', 'darah', 'hipertensi', 'melancarkan', 'peredaran', 'darah', 'tubuh']","['turun', 'normal', 'tekan', 'darah', 'hipertensi', 'lancar', 'edar', 'darah', 'tubuh']"
lulur wangi,untuk membersihkan mengatasi jerawat dan mengangkat komedo,TRESNA,Jamu Kesehatan,58,untuk membersihkan mengatasi jerawat dan mengangkat komedo,untuk membersihkan mengatasi jerawat dan mengangkat komedo,"['untuk', 'membersihkan', 'mengatasi', 'jerawat', 'dan', 'mengangkat', 'komedo']","['membersihkan', 'mengatasi', 'jerawat', 'mengangkat', 'komedo']","['bersih', 'atas', 'jerawat', 'angkat', 'komedo']"
PETODHU,untuk kesehatan tulang untuk pria dan wanita,TRESNA,Jamu Kesehatan,44,untuk kesehatan tulang untuk pria dan wanita,untuk kesehatan tulang untuk pria dan wanita,"['untuk', 'kesehatan', 'tulang', 'untuk', 'pria', 'dan', 'wanita']","['kesehatan', 'tulang', 'pria', 'wanita']","['sehat', 'tulang', 'pria', 'wanita']"
GALIAN PUTRI,"menjaga agar tubuh tetap segar, sehat, lincah dan tidak pucat, mengatasi bau ketiak dan bau badan yang kurang sedap, membantu mengatasi penyakit keputihan, menjaga organ kewanitaan sehingga pakaian dalam tetap bersih dari noda, melancarkan haid",TRESNA,Jamu Perawatan Kewanitaan,244,"menjaga agar tubuh tetap segar, sehat, lincah dan tidak pucat, mengatasi bau ketiak dan bau badan yang kurang sedap, membantu mengatasi penyakit keputihan, menjaga organ kewanitaan sehingga pakaian dalam tetap bersih dari noda, melancarkan haid",menjaga agar tubuh tetap segar sehat lincah dan tidak pucat mengatasi bau ketiak dan bau badan yang kurang sedap membantu mengatasi penyakit keputihan menjaga organ kewanitaan sehingga pakaian dalam tetap bersih dari noda melancarkan haid,"['menjaga', 'agar', 'tubuh', 'tetap', 'segar', 'sehat', 'lincah', 'dan', 'tidak', 'pucat', 'mengatasi', 'bau', 'ketiak', 'dan', 'bau', 'badan', 'yang', 'kurang', 'sedap', 'membantu', 'mengatasi', 'penyakit', 'keputihan', 'menjaga', 'organ', 'kewanitaan', 'sehingga', 'pakaian', 'dalam', 'tetap', 'bersih', 'dari', 'noda', 'melancarkan', 'haid']","['menjaga', 'tubuh', 'segar', 'sehat', 'lincah', 'pucat', 'mengatasi', 'bau', 'ketiak', 'bau', 'badan', 'sedap', 'membantu', 'mengatasi', 'penyakit', 'keputihan', 'menjaga', 'organ', 'kewanitaan', 'pakaian', 'bersih', 'noda', 'melancarkan', 'haid']","['jaga', 'tubuh', 'segar', 'sehat', 'lincah', 'pucat', 'atas', 'bau', 'ketiak', 'bau', 'badan', 'sedap', 'bantu', 'atas', 'sakit', 'putih', 'jaga', 'organ', 'wanita', 'pakai', 'bersih', 'noda', 'lancar', 'haid']"
GALIAN RAPET,"membantu merapatkan organ kewanitaan biar kencang, menjaga keharmonisan rumah tangga, menghilangkan bau tidak sedap, membantu mengatasi keputihan",TRESNA,Jamu Pasutri,145,"membantu merapatkan organ kewanitaan biar kencang, menjaga keharmonisan rumah tangga, menghilangkan bau tidak sedap, membantu mengatasi keputihan",membantu merapatkan organ kewanitaan biar kencang menjaga keharmonisan rumah tangga menghilangkan bau tidak sedap membantu mengatasi keputihan,"['membantu', 'merapatkan', 'organ', 'kewanitaan', 'biar', 'kencang', 'menjaga', 'keharmonisan', 'rumah', 'tangga', 'menghilangkan', 'bau', 'tidak', 'sedap', 'membantu', 'mengatasi', 'keputihan']","['membantu', 'merapatkan', 'organ', 'kewanitaan', 'biar', 'kencang', 'menjaga', 'keharmonisan', 'rumah', 'tangga', 'menghilangkan', 'bau', 'sedap', 'membantu', 'mengatasi', 'keputihan']","['bantu', 'rapat', 'organ', 'wanita', 'biar', 'kencang', 'jaga', 'harmonis', 'rumah', 'tangga', 'hilang', 'bau', 'sedap', 'bantu', 'atas', 'putih']"
lulur ayu,"memelihara dan kecantikan wajah dan anggota badan, membersihkan dan menghaluskan kulit",TRESNA,Jamu Perawatan Kewanitaan,86,"memelihara dan kecantikan wajah dan anggota badan, membersihkan dan menghaluskan kulit",memelihara dan kecantikan wajah dan anggota badan membersihkan dan menghaluskan kulit,"['memelihara', 'dan', 'kecantikan', 'wajah', 'dan', 'anggota', 'badan', 'membersihkan', 'dan', 'menghaluskan', 'kulit']","['memelihara', 'kecantikan', 'wajah', 'anggota', 'badan', 'membersihkan', 'menghaluskan', 'kulit']","['pelihara', 'cantik', 'wajah', 'anggota', 'badan', 'bersih', 'halus', 'kulit']"
PAS JUDHU,"membantu mengatasi asam urat, kolesterol, rematik",TRESNA,Jamu Kesehatan,49,"membantu mengatasi asam urat, kolesterol, rematik",membantu mengatasi asam urat kolesterol rematik,"['membantu', 'mengatasi', 'asam', 'urat', 'kolesterol', 'rematik']","['membantu', 'mengatasi', 'asam', 'urat', 'kolesterol', 'rematik']","['bantu', 'atas', 'asam', 'urat', 'kolesterol', 'rematik']"
SEHAT L.M,"memperlancar peredaran darah, menambah tenaga serta meningkatkan daya tahan tubuh terhadap penyakit, membantu mengatasi gejala penuaan, nyeri otot, nyeri sendi, pegal - pegal, rabun mata, mencegah masuk angin, pusing dan maag",TRESNA,Jamu Kesehatan,225,"memperlancar peredaran darah, menambah tenaga serta meningkatkan daya tahan tubuh terhadap penyakit, membantu mengatasi gejala penuaan, nyeri otot, nyeri sendi, pegal - pegal, rabun mata, mencegah masuk angin, pusing dan maag",memperlancar peredaran darah menambah tenaga serta meningkatkan daya tahan tubuh terhadap penyakit membantu mengatasi gejala penuaan nyeri otot nyeri sendi pegal  pegal rabun mata mencegah masuk angin pusing dan maag,"['memperlancar', 'peredaran', 'darah', 'menambah', 'tenaga', 'serta', 'meningkatkan', 'daya', 'tahan', 'tubuh', 'terhadap', 'penyakit', 'membantu', 'mengatasi', 'gejala', 'penuaan', 'nyeri', 'otot', 'nyeri', 'sendi', 'pegal', 'pegal', 'rabun', 'mata', 'mencegah', 'masuk', 'angin', 'pusing', 'dan', 'maag']","['memperlancar', 'peredaran', 'darah', 'menambah', 'tenaga', 'meningkatkan', 'daya', 'tahan', 'tubuh', 'penyakit', 'membantu', 'mengatasi', 'gejala', 'penuaan', 'nyeri', 'otot', 'nyeri', 'sendi', 'pegal', 'pegal', 'rabun', 'mata', 'mencegah', 'masuk', 'angin', 'pusing', 'maag']","['lancar', 'edar', 'darah', 'tambah', 'tenaga', 'tingkat', 'daya', 'tahan', 'tubuh', 'sakit', 'bantu', 'atas', 'gejala', 'tua', 'nyeri', 'otot', 'nyeri', 'sendi', 'pegal', 'pegal', 'rabun', 'mata', 'cegah', 'masuk', 'angin', 'pusing', 'maag']"
GALIAN RAPET,"membantu merapatkan organ kewanitaan, menjaga keharmonisan rumah tangga, menghilangkan bau tidak sedap, membantu mengatasi keputihan",TRESNA,Jamu Pasutri,132,"membantu merapatkan organ kewanitaan, menjaga keharmonisan rumah tangga, menghilangkan bau tidak sedap, membantu mengatasi keputihan",membantu merapatkan organ kewanitaan menjaga keharmonisan rumah tangga menghilangkan bau tidak sedap membantu mengatasi keputihan,"['membantu', 'merapatkan', 'organ', 'kewanitaan', 'menjaga', 'keharmonisan', 'rumah', 'tangga', 'menghilangkan', 'bau', 'tidak', 'sedap', 'membantu', 'mengatasi', 'keputihan']","['membantu', 'merapatkan', 'organ', 'kewanitaan', 'menjaga', 'keharmonisan', 'rumah', 'tangga', 'menghilangkan', 'bau', 'sedap', 'membantu', 'mengatasi', 'keputihan']","['bantu', 'rapat', 'organ', 'wanita', 'jaga', 'harmonis', 'rumah', 'tangga', 'hilang', 'bau', 'sedap', 'bantu', 'atas', 'putih']"
cream montok,membantu membesarkan payudara,TRESNA,Jamu Perawatan Kewanitaan,29,membantu membesarkan payudara,membantu membesarkan payudara,"['membantu', 'membesarkan', 'payudara']","['membantu', 'membesarkan', 'payudara']","['bantu', 'besar', 'payudara']"
GALIAN MONTOK,"membantu mengobati buah dada yang kecil supaya jadi montok dan besar, buah dada menjadi padat berisi",TRESNA,Jamu Perawatan Kewanitaan,100,"membantu mengobati buah dada yang kecil supaya jadi montok dan besar, buah dada menjadi padat berisi",membantu mengobati buah dada yang kecil supaya jadi montok dan besar buah dada menjadi padat berisi,"['membantu', 'mengobati', 'buah', 'dada', 'yang', 'kecil', 'supaya', 'jadi', 'montok', 'dan', 'besar', 'buah', 'dada', 'menjadi', 'padat', 'berisi']","['membantu', 'mengobati', 'buah', 'dada', 'montok', 'buah', 'dada', 'padat', 'berisi']","['bantu', 'obat', 'buah', 'dada', 'montok', 'buah', 'dada', 'padat', 'isi']"
BERSIH JERAWAT,"membantu mengatasi / membersihkan jerawat, mencegah timbulnya jerawat, memelihara wajah agar tetap halus",TRESNA,Jamu Kesehatan,104,"membantu mengatasi / membersihkan jerawat, mencegah timbulnya jerawat, memelihara wajah agar tetap halus",membantu mengatasi  membersihkan jerawat mencegah timbulnya jerawat memelihara wajah agar tetap halus,"['membantu', 'mengatasi', 'membersihkan', 'jerawat', 'mencegah', 'timbulnya', 'jerawat', 'memelihara', 'wajah', 'agar', 'tetap', 'halus']","['membantu', 'mengatasi', 'membersihkan', 'jerawat', 'mencegah', 'timbulnya', 'jerawat', 'memelihara', 'wajah', 'halus']","['bantu', 'atas', 'bersih', 'jerawat', 'cegah', 'timbul', 'jerawat', 'pelihara', 'wajah', 'halus']"
AWET AYU,"mengandung formula anti aging yang berguna untuk menghambat proses penuaan seperti mengurangi keriput, memudarkan lingkaran hitam di mata dan dapat mengurangi kantung mata, membantu mengatasi penyakit keputihan, menghilangkan bau badan, merapatkan vagina, menjaga organ kewanitaan tetap bersih, mengurangi dan menghilangkan rasa sakit serta menjelang haid",TRESNA,Jamu Perawatan Kewanitaan,355,"mengandung formula anti aging yang berguna untuk menghambat proses penuaan seperti mengurangi keriput, memudarkan lingkaran hitam di mata dan dapat mengurangi kantung mata, membantu mengatasi penyakit keputihan, menghilangkan bau badan, merapatkan vagina, menjaga organ kewanitaan tetap bersih, mengurangi dan menghilangkan rasa sakit serta menjelang haid",mengandung formula anti aging yang berguna untuk menghambat proses penuaan seperti mengurangi keriput memudarkan lingkaran hitam di mata dan dapat mengurangi kantung mata membantu mengatasi penyakit keputihan menghilangkan bau badan merapatkan vagina menjaga organ kewanitaan tetap bersih mengurangi dan menghilangkan rasa sakit serta menjelang haid,"['mengandung', 'formula', 'anti', 'aging', 'yang', 'berguna', 'untuk', 'menghambat', 'proses', 'penuaan', 'seperti', 'mengurangi', 'keriput', 'memudarkan', 'lingkaran', 'hitam', 'di', 'mata', 'dan', 'dapat', 'mengurangi', 'kantung', 'mata', 'membantu', 'mengatasi', 'penyakit', 'keputihan', 'menghilangkan', 'bau', 'badan', 'merapatkan', 'vagina', 'menjaga', 'organ', 'kewanitaan', 'tetap', 'bersih', 'mengurangi', 'dan', 'menghilangkan', 'rasa', 'sakit', 'serta', 'menjelang', 'haid']","['mengandung', 'formula', 'anti', 'aging', 'berguna', 'menghambat', 'proses', 'penuaan', 'mengurangi', 'keriput', 'memudarkan', 'lingkaran', 'hitam', 'mata', 'mengurangi', 'kantung', 'mata', 'membantu', 'mengatasi', 'penyakit', 'keputihan', 'menghilangkan', 'bau', 'badan', 'merapatkan', 'vagina', 'menjaga', 'organ', 'kewanitaan', 'bersih', 'mengurangi', 'menghilangkan', 'sakit', 'menjelang', 'haid']","['kandung', 'formula', 'anti', 'aging', 'guna', 'hambat', 'proses', 'tua', 'kurang', 'keriput', 'pudar', 'lingkar', 'hitam', 'mata', 'kurang', 'kantung', 'mata', 'bantu', 'atas', 'sakit', 'putih', 'hilang', 'bau', 'badan', 'rapat', 'vagina', 'jaga', 'organ', 'wanita', 'bersih', 'kurang', 'hilang', 'sakit', 'jelang', 'haid']"
PANYAMAN,"untuk mengatasi kurang gairah, mengencangkan otot - otot rahim dan sekitarnya, vagina menjadi keset dan sensitif, membantu para wanita agar lebih cepat mencapai orgasme, memberi getaran - getaran apabila ada sentuhan",TRESNA,Jamu Pasutri,216,"untuk mengatasi kurang gairah, mengencangkan otot - otot rahim dan sekitarnya, vagina menjadi keset dan sensitif, membantu para wanita agar lebih cepat mencapai orgasme, memberi getaran - getaran apabila ada sentuhan",untuk mengatasi kurang gairah mengencangkan otot  otot rahim dan sekitarnya vagina menjadi keset dan sensitif membantu para wanita agar lebih cepat mencapai orgasme memberi getaran  getaran apabila ada sentuhan,"['untuk', 'mengatasi', 'kurang', 'gairah', 'mengencangkan', 'otot', 'otot', 'rahim', 'dan', 'sekitarnya', 'vagina', 'menjadi', 'keset', 'dan', 'sensitif', 'membantu', 'para', 'wanita', 'agar', 'lebih', 'cepat', 'mencapai', 'orgasme', 'memberi', 'getaran', 'getaran', 'apabila', 'ada', 'sentuhan']","['mengatasi', 'gairah', 'mengencangkan', 'otot', 'otot', 'rahim', 'vagina', 'keset', 'sensitif', 'membantu', 'wanita', 'cepat', 'mencapai', 'orgasme', 'getaran', 'getaran', 'sentuhan']","['atas', 'gairah', 'encang', 'otot', 'otot', 'rahim', 'vagina', 'keset', 'sensitif', 'bantu', 'wanita', 'cepat', 'capai', 'orgasme', 'getar', 'getar', 'sentuh']"
JAMU PERKASA,"mencegah ejakulasi dini, menambah daya tahan lama pria, menambah tenaga dan gairah keperkasaan pria, menambah kesehatan dan kebugaran",TRESNA,Jamu Pasutri,133,"mencegah ejakulasi dini, menambah daya tahan lama pria, menambah tenaga dan gairah keperkasaan pria, menambah kesehatan dan kebugaran",mencegah ejakulasi dini menambah daya tahan lama pria menambah tenaga dan gairah keperkasaan pria menambah kesehatan dan kebugaran,"['mencegah', 'ejakulasi', 'dini', 'menambah', 'daya', 'tahan', 'lama', 'pria', 'menambah', 'tenaga', 'dan', 'gairah', 'keperkasaan', 'pria', 'menambah', 'kesehatan', 'dan', 'kebugaran']","['mencegah', 'ejakulasi', 'menambah', 'daya', 'tahan', 'pria', 'menambah', 'tenaga', 'gairah', 'keperkasaan', 'pria', 'menambah', 'kesehatan', 'kebugaran']","['cegah', 'ejakulasi', 'tambah', 'daya', 'tahan', 'pria', 'tambah', 'tenaga', 'gairah', 'perkasa', 'pria', 'tambah', 'sehat', 'bugar']"
peluntur &pelangsing,"mengurangi lemak dalam tubuh terutama di perut yang gendut, mengencangkan otot - otot yang kendur, memelihara tubuh agar tetap langsing padat dan ideal secara alami",TRESNA,Jamu Kesehatan,164,"mengurangi lemak dalam tubuh terutama di perut yang gendut, mengencangkan otot - otot yang kendur, memelihara tubuh agar tetap langsing padat dan ideal secara alami",mengurangi lemak dalam tubuh terutama di perut yang gendut mengencangkan otot  otot yang kendur memelihara tubuh agar tetap langsing padat dan ideal secara alami,"['mengurangi', 'lemak', 'dalam', 'tubuh', 'terutama', 'di', 'perut', 'yang', 'gendut', 'mengencangkan', 'otot', 'otot', 'yang', 'kendur', 'memelihara', 'tubuh', 'agar', 'tetap', 'langsing', 'padat', 'dan', 'ideal', 'secara', 'alami']","['mengurangi', 'lemak', 'tubuh', 'perut', 'gendut', 'mengencangkan', 'otot', 'otot', 'kendur', 'memelihara', 'tubuh', 'langsing', 'padat', 'ideal', 'alami']","['kurang', 'lemak', 'tubuh', 'perut', 'gendut', 'encang', 'otot', 'otot', 'kendur', 'pelihara', 'tubuh', 'langsing', 'padat', 'ideal', 'alami']"
BEDAK SARI,pengharum tubuh,TRESNA,Jamu Kesehatan,15,pengharum tubuh,pengharum tubuh,"['pengharum', 'tubuh']","['pengharum', 'tubuh']","['harum', 'tubuh']"
HABBATUS SAUDA,"menjaga stamina, memperkuat daya konsentrasi, anti bakteri, mengatasi infeksi, menghangatkan dan melegakan saluran pernafasan, meringankan gejala batuk pilek, menurunkan demam, membantu mempercepat penyembuhan penyakit, membantu mengatasi maag, mengeluarkan masuk angin dan kembung",TRESNA,Jamu Kesehatan,281,"menjaga stamina, memperkuat daya konsentrasi, anti bakteri, mengatasi infeksi, menghangatkan dan melegakan saluran pernafasan, meringankan gejala batuk pilek, menurunkan demam, membantu mempercepat penyembuhan penyakit, membantu mengatasi maag, mengeluarkan masuk angin dan kembung",menjaga stamina memperkuat daya konsentrasi anti bakteri mengatasi infeksi menghangatkan dan melegakan saluran pernafasan meringankan gejala batuk pilek menurunkan demam membantu mempercepat penyembuhan penyakit membantu mengatasi maag mengeluarkan masuk angin dan kembung,"['menjaga', 'stamina', 'memperkuat', 'daya', 'konsentrasi', 'anti', 'bakteri', 'mengatasi', 'infeksi', 'menghangatkan', 'dan', 'melegakan', 'saluran', 'pernafasan', 'meringankan', 'gejala', 'batuk', 'pilek', 'menurunkan', 'demam', 'membantu', 'mempercepat', 'penyembuhan', 'penyakit', 'membantu', 'mengatasi', 'maag', 'mengeluarkan', 'masuk', 'angin', 'dan', 'kembung']","['menjaga', 'stamina', 'memperkuat', 'daya', 'konsentrasi', 'anti', 'bakteri', 'mengatasi', 'infeksi', 'menghangatkan', 'melegakan', 'saluran', 'pernafasan', 'meringankan', 'gejala', 'batuk', 'pilek', 'menurunkan', 'demam', 'membantu', 'mempercepat', 'penyembuhan', 'penyakit', 'membantu', 'mengatasi', 'maag', 'mengeluarkan', 'masuk', 'angin', 'kembung']","['jaga', 'stamina', 'kuat', 'daya', 'konsentrasi', 'anti', 'bakteri', 'atas', 'infeksi', 'hangat', 'lega', 'salur', 'nafas', 'ringan', 'gejala', 'batuk', 'pilek', 'turun', 'demam', 'bantu', 'cepat', 'sembuh', 'sakit', 'bantu', 'atas', 'maag', 'keluar', 'masuk', 'angin', 'kembung']"
SELEDRI MIX,untuk mengatasi asam urat,NATURNA,Jamu Kesehatan,25,untuk mengatasi asam urat,untuk mengatasi asam urat,"['untuk', 'mengatasi', 'asam', 'urat']","['mengatasi', 'asam', 'urat']","['atas', 'asam', 'urat']"
KUNYIT ASEM,"meningkatkan daya tahan tubuh, menjaga stamina, menghilangkan bau badan, melancarkan datang bulan, menghaluskan kulit, mencegah penuaan dini, mencegah diare",NATURNA,Jamu Kesehatan,156,"meningkatkan daya tahan tubuh, menjaga stamina, menghilangkan bau badan, melancarkan datang bulan, menghaluskan kulit, mencegah penuaan dini, mencegah diare",meningkatkan daya tahan tubuh menjaga stamina menghilangkan bau badan melancarkan datang bulan menghaluskan kulit mencegah penuaan dini mencegah diare,"['meningkatkan', 'daya', 'tahan', 'tubuh', 'menjaga', 'stamina', 'menghilangkan', 'bau', 'badan', 'melancarkan', 'datang', 'bulan', 'menghaluskan', 'kulit', 'mencegah', 'penuaan', 'dini', 'mencegah', 'diare']","['meningkatkan', 'daya', 'tahan', 'tubuh', 'menjaga', 'stamina', 'menghilangkan', 'bau', 'badan', 'melancarkan', 'menghaluskan', 'kulit', 'mencegah', 'penuaan', 'mencegah', 'diare']","['tingkat', 'daya', 'tahan', 'tubuh', 'jaga', 'stamina', 'hilang', 'bau', 'badan', 'lancar', 'halus', 'kulit', 'cegah', 'tua', 'cegah', 'diare']"
TEMU LAWAK,"mengatasi maag, mengatasi radang sendi, menghilangkan bau badan, mengatasi diare, mengatasi kolesterol, melancarkan pencernaan, mencegah penuaan dini, anti kanker, menyehatkan liver dan ginjal",NATURNA,Jamu Kesehatan,192,"mengatasi maag, mengatasi radang sendi, menghilangkan bau badan, mengatasi diare, mengatasi kolesterol, melancarkan pencernaan, mencegah penuaan dini, anti kanker, menyehatkan liver dan ginjal",mengatasi maag mengatasi radang sendi menghilangkan bau badan mengatasi diare mengatasi kolesterol melancarkan pencernaan mencegah penuaan dini anti kanker menyehatkan liver dan ginjal,"['mengatasi', 'maag', 'mengatasi', 'radang', 'sendi', 'menghilangkan', 'bau', 'badan', 'mengatasi', 'diare', 'mengatasi', 'kolesterol', 'melancarkan', 'pencernaan', 'mencegah', 'penuaan', 'dini', 'anti', 'kanker', 'menyehatkan', 'liver', 'dan', 'ginjal']","['mengatasi', 'maag', 'mengatasi', 'radang', 'sendi', 'menghilangkan', 'bau', 'badan', 'mengatasi', 'diare', 'mengatasi', 'kolesterol', 'melancarkan', 'pencernaan', 'mencegah', 'penuaan', 'anti', 'kanker', 'menyehatkan', 'liver', 'ginjal']","['atas', 'maag', 'atas', 'radang', 'sendi', 'hilang', 'bau', 'badan', 'atas', 'diare', 'atas', 'kolesterol', 'lancar', 'cerna', 'cegah', 'tua', 'anti', 'kanker', 'sehat', 'liver', 'ginjal']"
BERAS KENCUR,"mengatasi batuk pilek, meredakan hidung tersumbat, menambah nafsu makan, mengatasi sakit maag, meningkatkan imun tubuh",NATURNA,Jamu Kesehatan,118,"mengatasi batuk pilek, meredakan hidung tersumbat, menambah nafsu makan, mengatasi sakit maag, meningkatkan imun tubuh",mengatasi batuk pilek meredakan hidung tersumbat menambah nafsu makan mengatasi sakit maag meningkatkan imun tubuh,"['mengatasi', 'batuk', 'pilek', 'meredakan', 'hidung', 'tersumbat', 'menambah', 'nafsu', 'makan', 'mengatasi', 'sakit', 'maag', 'meningkatkan', 'imun', 'tubuh']","['mengatasi', 'batuk', 'pilek', 'meredakan', 'hidung', 'tersumbat', 'menambah', 'nafsu', 'makan', 'mengatasi', 'sakit', 'maag', 'meningkatkan', 'imun', 'tubuh']","['atas', 'batuk', 'pilek', 'reda', 'hidung', 'sumbat', 'tambah', 'nafsu', 'makan', 'atas', 'sakit', 'maag', 'tingkat', 'imun', 'tubuh']"
SIRIH PINANG,"menjaga kesehatan gigi, mencegah sariawan, menghilangkan bau mulut, menghilangkan bau badan, mengatasi keputihan, melancarkan pencernaan, mencegah gusi berdarah",NATURNA,Jamu Kesehatan,160,"menjaga kesehatan gigi, mencegah sariawan, menghilangkan bau mulut, menghilangkan bau badan, mengatasi keputihan, melancarkan pencernaan, mencegah gusi berdarah",menjaga kesehatan gigi mencegah sariawan menghilangkan bau mulut menghilangkan bau badan mengatasi keputihan melancarkan pencernaan mencegah gusi berdarah,"['menjaga', 'kesehatan', 'gigi', 'mencegah', 'sariawan', 'menghilangkan', 'bau', 'mulut', 'menghilangkan', 'bau', 'badan', 'mengatasi', 'keputihan', 'melancarkan', 'pencernaan', 'mencegah', 'gusi', 'berdarah']","['menjaga', 'kesehatan', 'gigi', 'mencegah', 'sariawan', 'menghilangkan', 'bau', 'mulut', 'menghilangkan', 'bau', 'badan', 'mengatasi', 'keputihan', 'melancarkan', 'pencernaan', 'mencegah', 'gusi', 'berdarah']","['jaga', 'sehat', 'gigi', 'cegah', 'sariawan', 'hilang', 'bau', 'mulut', 'hilang', 'bau', 'badan', 'atas', 'putih', 'lancar', 'cerna', 'cegah', 'gusi', 'darah']"
POKA',"mengatasi masuk angin, mual, pusing, meredakan nyeri sendi, meningkatkan imun tubuh, mencegah penuaan dini, anti kanker, mencegah kolesterol",NATURNA,Jamu Kesehatan,140,"mengatasi masuk angin, mual, pusing, meredakan nyeri sendi, meningkatkan imun tubuh, mencegah penuaan dini, anti kanker, mencegah kolesterol",mengatasi masuk angin mual pusing meredakan nyeri sendi meningkatkan imun tubuh mencegah penuaan dini anti kanker mencegah kolesterol,"['mengatasi', 'masuk', 'angin', 'mual', 'pusing', 'meredakan', 'nyeri', 'sendi', 'meningkatkan', 'imun', 'tubuh', 'mencegah', 'penuaan', 'dini', 'anti', 'kanker', 'mencegah', 'kolesterol']","['mengatasi', 'masuk', 'angin', 'mual', 'pusing', 'meredakan', 'nyeri', 'sendi', 'meningkatkan', 'imun', 'tubuh', 'mencegah', 'penuaan', 'anti', 'kanker', 'mencegah', 'kolesterol']","['atas', 'masuk', 'angin', 'mual', 'pusing', 'reda', 'nyeri', 'sendi', 'tingkat', 'imun', 'tubuh', 'cegah', 'tua', 'anti', 'kanker', 'cegah', 'kolesterol']"
BUNGA TELANG,"menyehatkan mata, menyehatkan otak, menghaluskan kulit, melancarkan pencernaan, mencegah penuaan dini",NATURNA,Jamu Kesehatan,101,"menyehatkan mata, menyehatkan otak, menghaluskan kulit, melancarkan pencernaan, mencegah penuaan dini",menyehatkan mata menyehatkan otak menghaluskan kulit melancarkan pencernaan mencegah penuaan dini,"['menyehatkan', 'mata', 'menyehatkan', 'otak', 'menghaluskan', 'kulit', 'melancarkan', 'pencernaan', 'mencegah', 'penuaan', 'dini']","['menyehatkan', 'mata', 'menyehatkan', 'otak', 'menghaluskan', 'kulit', 'melancarkan', 'pencernaan', 'mencegah', 'penuaan']","['sehat', 'mata', 'sehat', 'otak', 'halus', 'kulit', 'lancar', 'cerna', 'cegah', 'tua']"
jahe merah instant,"untuk mengobati masuk angin, pusing,dan mual",NATURNA,Jamu Kesehatan,44,"untuk mengobati masuk angin, pusing,dan mual",untuk mengobati masuk angin pusingdan mual,"['untuk', 'mengobati', 'masuk', 'angin', 'pusingdan', 'mual']","['mengobati', 'masuk', 'angin', 'pusingdan', 'mual']","['obat', 'masuk', 'angin', 'pusingdan', 'mual']"
Empot wangi,membantu mengurangi lendir yang berlebihan pada daerah kewanitaan,PT. Firdaus,Jamu Perawatan Kewanitaan,65,membantu mengurangi lendir yang berlebihan pada daerah kewanitaan,membantu mengurangi lendir yang berlebihan pada daerah kewanitaan,"['membantu', 'mengurangi', 'lendir', 'yang', 'berlebihan', 'pada', 'daerah', 'kewanitaan']","['membantu', 'mengurangi', 'lendir', 'daerah', 'kewanitaan']","['bantu', 'kurang', 'lendir', 'daerah', 'wanita']"
